time,client,sat,distance,time_s
2024-07-05 13:04:31.984,sensor46419',1-685,5696.0,75.253
2024-07-05 13:04:31.984,sensor46401',1-685,6755.0,75.253
2024-07-05 13:04:31.985,sensor21418',1-685,23174.0,75.254
2024-07-05 13:04:31.985,sensor46d16',1-685,4466.0,75.254
2024-07-05 13:04:31.986,sensor21419',1-685,15667.0,75.255
2024-07-05 13:04:31.986,sensor46407',1-685,8800.0,75.255
2024-07-05 13:04:31.986,sensor46408',1-685,5793.0,75.255
2024-07-05 13:04:31.987,sensor46d02',1-685,4528.0,75.256
2024-07-05 13:04:31.987,sensor46404',1-685,6233.0,75.256
2024-07-05 13:04:31.988,sensor21413',1-685,33443.0,75.257
2024-07-05 13:04:31.988,sensor46452',1-685,7493.0,75.257
2024-07-05 13:04:31.988,sensor46403',1-685,2831.0,75.257
2024-07-05 13:04:31.989,sensor21415',1-685,10577.0,75.258
2024-07-05 13:04:31.989,sensor46410',1-685,3244.0,75.258
2024-07-05 13:04:31.990,sensor46451',1-685,7481.0,75.259
2024-07-05 13:04:31.990,sensor46412',1-685,17433.0,75.259
2024-07-05 13:04:31.990,sensor21417',1-685,15928.0,75.259
2024-07-05 13:04:31.991,sensor46416',1-685,3733.0,75.26
2024-07-05 13:04:31.991,sensor46414',1-685,2076.0,75.26
2024-07-05 13:04:32.077,sensor46405',1-685,9137.0,75.346
2024-07-05 13:04:32.077,sensor46d04',1-685,6236.0,75.346
2024-07-05 13:04:32.078,sensor46490',1-685,17393.0,75.347
2024-07-05 13:04:34.298,sensor21414',1-685,9064.0,77.567
2024-07-05 13:04:34.299,sensor46411',1-685,9813.0,77.568
2024-07-05 13:04:34.299,sensor46402',1-685,4515.0,77.568
2024-07-05 13:04:34.299,sensor46415',1-685,2727.0,77.568
2024-07-05 13:04:34.300,sensor21416',1-685,13033.0,77.569
2024-07-05 13:04:34.300,sensor21d13',1-685,33447.0,77.569
2024-07-05 13:04:34.301,sensor46413',1-685,7116.0,77.57
2024-07-05 13:04:34.301,sensor46409',1-685,2743.0,77.57
2024-07-05 13:04:34.302,sensor46419',1-685,5696.0,77.571
2024-07-05 13:04:34.302,sensor46401',1-685,6755.0,77.571
2024-07-05 13:04:34.302,sensor21418',1-685,22669.0,77.571
2024-07-05 13:04:34.303,sensor46d16',1-685,3739.0,77.572
2024-07-05 13:04:34.303,sensor21419',1-685,15667.0,77.572
2024-07-05 13:04:34.303,sensor46407',1-685,8800.0,77.572
2024-07-05 13:04:34.304,sensor46408',1-685,5793.0,77.573
2024-07-05 13:04:34.304,sensor46d02',1-685,4528.0,77.573
2024-07-05 13:04:34.304,sensor46404',1-685,6233.0,77.573
2024-07-05 13:04:34.305,sensor21413',1-685,33443.0,77.574
