time_x,client_no,response_time,is_success,host,time_s,time_y,sat,distance
2024-07-05 13:04:10.514984,46415,0.031623,True,685,53.783984,2024-07-05 13:04:08.440,1-685,3234.0
2024-07-05 13:04:10.569802,46412,0.043277,True,685,53.838802,2024-07-05 13:04:08.449,1-685,17433.0
2024-07-05 13:04:10.577283,21416,0.034111,True,685,53.846283,2024-07-05 13:04:08.441,1-685,12363.0
2024-07-05 13:04:10.633658,46413,0.037975,True,685,53.902658,2024-07-05 13:04:08.442,1-685,6615.0
2024-07-05 13:04:10.635394,21417,0.039862,True,685,53.904394,2024-07-05 13:04:08.449,1-685,15423.0
2024-07-05 13:04:10.670464,46419,0.020923,True,685,53.939464,2024-07-05 13:04:08.443,1-685,6212.0
2024-07-05 13:04:10.675116,46409,0.032146,True,685,53.944116,2024-07-05 13:04:08.442,1-685,2743.0
2024-07-05 13:04:10.713286,21d13,0.062914,True,685,53.982286,2024-07-05 13:04:08.442,1-685,25515.0
2024-07-05 13:04:11.765770,46401,0.023287,True,685,55.03477,2024-07-05 13:04:10.956,1-685,6755.0
2024-07-05 13:04:11.772644,46d16,0.024645,True,685,55.041644,2024-07-05 13:04:10.958,1-685,4466.0
2024-07-05 13:04:11.824586,46416,0.026102,True,685,55.093586,2024-07-05 13:04:10.963,1-685,4461.0
2024-07-05 13:04:11.858276,46414,0.013502,True,685,55.127276,2024-07-05 13:04:10.964,1-685,2076.0
2024-07-05 13:04:11.909834,21418,0.062075,True,685,55.178834,2024-07-05 13:04:10.957,1-685,23174.0
2024-07-05 13:04:11.981011,46408,0.019517,True,685,55.250011,2024-07-05 13:04:10.959,1-685,5283.0
2024-07-05 13:04:12.084259,21419,0.039668,True,685,55.353259,2024-07-05 13:04:10.958,1-685,15156.0
2024-07-05 13:04:12.102247,46405,0.028248,True,685,55.371247,2024-07-05 13:04:11.050,1-685,9137.0
2024-07-05 13:04:12.113085,46d02,0.016974,True,685,55.382085,2024-07-05 13:04:10.959,1-685,4019.0
2024-07-05 13:04:12.136771,46407,0.026938,True,685,55.405771,2024-07-05 13:04:10.958,1-685,8800.0
2024-07-05 13:04:12.161660,46404,0.024119,True,685,55.43066,2024-07-05 13:04:10.959,1-685,7446.0
2024-07-05 13:04:12.253200,46d04,0.024162,True,685,55.5222,2024-07-05 13:04:11.051,1-685,7433.0
2024-07-05 13:04:12.267068,46452,0.025614,True,685,55.536068,2024-07-05 13:04:10.960,1-685,8511.0
2024-07-05 13:04:12.303136,21413,0.071158,True,685,55.572136,2024-07-05 13:04:10.960,1-685,25513.0
2024-07-05 13:04:12.333720,21414,0.025243,True,685,55.60272,2024-07-05 13:04:10.952,1-685,8283.0
2024-07-05 13:04:12.355426,46403,0.014155,True,685,55.624426,2024-07-05 13:04:10.961,1-685,2321.0
2024-07-05 13:04:12.377085,21415,0.0287,True,685,55.646085,2024-07-05 13:04:10.961,1-685,10009.0
2024-07-05 13:04:12.404425,46410,0.015373,True,685,55.673425,2024-07-05 13:04:10.962,1-685,3244.0
2024-07-05 13:04:12.433449,46490,0.043757,True,685,55.702449,2024-07-05 13:04:11.051,1-685,17393.0
2024-07-05 13:04:12.454407,46411,0.029582,True,685,55.723407,2024-07-05 13:04:10.953,1-685,9813.0
2024-07-05 13:04:12.477255,46402,0.016471,True,685,55.746255,2024-07-05 13:04:10.954,1-685,4010.0
2024-07-05 13:04:12.503037,46451,0.026319,True,685,55.772037,2024-07-05 13:04:10.962,1-685,8514.0
2024-07-05 13:04:12.515524,46415,0.030351,True,685,55.784524,2024-07-05 13:04:10.954,1-685,3234.0
2024-07-05 13:04:12.571525,46412,0.043743,True,685,55.840525,2024-07-05 13:04:10.962,1-685,17433.0
2024-07-05 13:04:12.579025,21416,0.033768,True,685,55.848025,2024-07-05 13:04:10.955,1-685,12363.0
2024-07-05 13:04:12.619551,46413,0.022535,True,685,55.888551,2024-07-05 13:04:10.955,1-685,6615.0
2024-07-05 13:04:12.644852,21417,0.047263,True,685,55.913852,2024-07-05 13:04:10.963,1-685,15423.0
2024-07-05 13:04:12.658765,46409,0.014648,True,685,55.927765,2024-07-05 13:04:10.956,1-685,2743.0
2024-07-05 13:04:12.671426,46419,0.021662,True,685,55.940426,2024-07-05 13:04:10.956,1-685,6212.0
2024-07-05 13:04:12.713146,21d13,0.060695,True,685,55.982146,2024-07-05 13:04:10.955,1-685,25515.0
2024-07-05 13:04:13.766796,46401,0.022792,True,685,57.035796,2024-07-05 13:04:13.438,1-685,6755.0
2024-07-05 13:04:13.774610,46d16,0.025049,True,685,57.04361,2024-07-05 13:04:13.447,1-685,4466.0
2024-07-05 13:04:13.817381,46416,0.017743,True,685,57.086381,2024-07-05 13:04:13.511,1-685,4461.0
2024-07-05 13:04:13.860185,46414,0.013486,True,685,57.129185,2024-07-05 13:04:13.515,1-685,2076.0
2024-07-05 13:04:13.903902,21418,0.055785,True,685,57.172902,2024-07-05 13:04:13.443,1-685,23174.0
2024-07-05 13:04:13.982798,46408,0.019832,True,685,57.251798,2024-07-05 13:04:13.462,1-685,5283.0
2024-07-05 13:04:14.085633,21419,0.039335,True,685,57.354633,2024-07-05 13:04:13.452,1-685,15156.0
2024-07-05 13:04:14.104782,46405,0.029467,True,685,57.373782,2024-07-05 13:04:13.519,1-685,9137.0
2024-07-05 13:04:14.117484,46d02,0.019374,True,685,57.386484,2024-07-05 13:04:13.467,1-685,4019.0
2024-07-05 13:04:14.138260,46407,0.02648,True,685,57.40726,2024-07-05 13:04:13.457,1-685,8800.0
2024-07-05 13:04:14.162809,46404,0.023809,True,685,57.431809,2024-07-05 13:04:13.471,1-685,7446.0
2024-07-05 13:04:14.265033,46d04,0.034823,True,685,57.534033,2024-07-05 13:04:13.523,1-685,7433.0
2024-07-05 13:04:14.270253,46452,0.026875,True,685,57.539253,2024-07-05 13:04:13.480,1-685,8511.0
2024-07-05 13:04:14.300208,21413,0.066942,True,685,57.569208,2024-07-05 13:04:13.476,1-685,25513.0
2024-07-05 13:04:14.334954,21414,0.025902,True,685,57.603954,2024-07-05 13:04:13.397,1-685,8283.0
2024-07-05 13:04:14.355952,46403,0.013461,True,685,57.624952,2024-07-05 13:04:13.485,1-685,2321.0
2024-07-05 13:04:14.380445,21415,0.030367,True,685,57.649445,2024-07-05 13:04:13.489,1-685,10009.0
2024-07-05 13:04:14.406727,46410,0.016042,True,685,57.675727,2024-07-05 13:04:13.494,1-685,3244.0
2024-07-05 13:04:14.435119,46490,0.043649,True,685,57.704119,2024-07-05 13:04:13.528,1-685,17393.0
2024-07-05 13:04:14.455014,46411,0.028629,True,685,57.724014,2024-07-05 13:04:13.401,1-685,9813.0
2024-07-05 13:04:14.486342,46402,0.024769,True,685,57.755342,2024-07-05 13:04:13.406,1-685,4010.0
2024-07-05 13:04:14.507174,46415,0.021312,True,685,57.776174,2024-07-05 13:04:13.410,1-685,3234.0
2024-07-05 13:04:14.522111,46451,0.043786,True,685,57.791111,2024-07-05 13:04:13.498,1-685,8514.0
2024-07-05 13:04:14.573821,46412,0.044273,True,685,57.842821,2024-07-05 13:04:13.502,1-685,17433.0
2024-07-05 13:04:14.587813,21416,0.040758,True,685,57.856813,2024-07-05 13:04:13.415,1-685,12564.0
2024-07-05 13:04:14.638804,46413,0.040232,True,685,57.907804,2024-07-05 13:04:13.423,1-685,6615.0
2024-07-05 13:04:14.639204,21417,0.040376,True,685,57.908204,2024-07-05 13:04:13.506,1-685,15423.0
2024-07-05 13:04:14.660241,46409,0.014469,True,685,57.929241,2024-07-05 13:04:13.429,1-685,2743.0
2024-07-05 13:04:14.674139,46419,0.022597,True,685,57.943139,2024-07-05 13:04:13.433,1-685,6212.0
2024-07-05 13:04:14.713657,21d13,0.059434,True,685,57.982657,2024-07-05 13:04:13.419,1-685,25515.0
2024-07-05 13:04:16.751359,46401,0.0,False,685,60.020359,2024-07-05 13:04:15.840,1-685,6755.0
2024-07-05 13:04:16.756920,46d16,0.0,False,685,60.02592,2024-07-05 13:04:15.841,1-685,4466.0
2024-07-05 13:04:16.803149,46416,0.0,False,685,60.072149,2024-07-05 13:04:15.846,1-685,4461.0
2024-07-05 13:04:16.850172,46414,0.0,False,685,60.119172,2024-07-05 13:04:15.847,1-685,2076.0
2024-07-05 13:04:16.851350,21418,0.0,False,685,60.12035,2024-07-05 13:04:15.841,1-685,23174.0
2024-07-05 13:04:16.965775,46408,0.0,False,685,60.234775,2024-07-05 13:04:15.842,1-685,5283.0
2024-07-05 13:04:17.049249,21419,0.0,False,685,60.318249,2024-07-05 13:04:15.841,1-685,15156.0
2024-07-05 13:04:17.078076,46405,0.0,False,685,60.347076,2024-07-05 13:04:15.933,1-685,9137.0
2024-07-05 13:04:17.100902,46d02,0.0,False,685,60.369902,2024-07-05 13:04:15.843,1-685,4019.0
2024-07-05 13:04:17.114840,46407,0.0,False,685,60.38384,2024-07-05 13:04:15.842,1-685,8800.0
2024-07-05 13:04:17.142540,46404,0.0,False,685,60.41154,2024-07-05 13:04:15.843,1-685,6941.0
2024-07-05 13:04:17.231769,46d04,0.0,False,685,60.500769,2024-07-05 13:04:15.933,1-685,6920.0
2024-07-05 13:04:17.236539,21413,0.0,False,685,60.505539,2024-07-05 13:04:15.843,1-685,25513.0
2024-07-05 13:04:17.246282,46452,0.0,False,685,60.515282,2024-07-05 13:04:15.844,1-685,8511.0
2024-07-05 13:04:17.310623,21414,0.0,False,685,60.579623,2024-07-05 13:04:15.836,1-685,8283.0
2024-07-05 13:04:17.345304,46403,0.0,False,685,60.614304,2024-07-05 13:04:15.844,1-685,2321.0
2024-07-05 13:04:17.352718,21415,0.0,False,685,60.621718,2024-07-05 13:04:15.844,1-685,10009.0
2024-07-05 13:04:17.394511,46490,0.0,False,685,60.663511,2024-07-05 13:04:15.933,1-685,17393.0
2024-07-05 13:04:17.396625,46410,0.0,False,685,60.665625,2024-07-05 13:04:15.845,1-685,3244.0
2024-07-05 13:04:17.429513,46411,0.0,False,685,60.698513,2024-07-05 13:04:15.837,1-685,9813.0
2024-07-05 13:04:17.464603,46402,0.0,False,685,60.733603,2024-07-05 13:04:15.838,1-685,4010.0
2024-07-05 13:04:17.480909,46451,0.0,False,685,60.749909,2024-07-05 13:04:15.845,1-685,8514.0
2024-07-05 13:04:17.487754,46415,0.0,False,685,60.756754,2024-07-05 13:04:15.838,1-685,3234.0
2024-07-05 13:04:17.532272,46412,0.0,False,685,60.801272,2024-07-05 13:04:15.846,1-685,17433.0
2024-07-05 13:04:17.549523,21416,0.0,False,685,60.818523,2024-07-05 13:04:15.838,1-685,12564.0
2024-07-05 13:04:17.601060,46413,0.0,False,685,60.87006,2024-07-05 13:04:15.839,1-685,6615.0
2024-07-05 13:04:17.605397,21417,0.0,False,685,60.874397,2024-07-05 13:04:15.846,1-685,15423.0
2024-07-05 13:04:17.653649,46409,0.0,False,685,60.922649,2024-07-05 13:04:15.840,1-685,2743.0
