time,gst,sat,delay,time_ms
2024-07-03 13:20:59.610,redmond,1-1,3195.0,454907.0
2024-07-03 13:20:59.640,redmond,1-1,3195.0,454937.0
2024-07-03 13:20:59.669,redmond,1-1,3195.0,454966.0
2024-07-03 13:20:59.699,redmond,1-1,3195.0,454996.0
2024-07-03 13:20:59.728,redmond,1-1,3195.0,455025.0
2024-07-03 13:20:59.757,redmond,1-1,3195.0,455054.0
2024-07-03 13:20:59.795,redmond,1-1,3195.0,455092.0
2024-07-03 13:20:59.824,redmond,1-1,3195.0,455121.0
2024-07-03 13:20:59.853,redmond,1-1,3195.0,455150.0
2024-07-03 13:20:59.882,redmond,1-1,3195.0,455179.0
2024-07-03 13:20:59.911,redmond,1-1,3195.0,455208.0
2024-07-03 13:20:59.940,redmond,1-1,3195.0,455237.0
2024-07-03 13:20:59.969,redmond,1-1,3195.0,455266.0
2024-07-03 13:20:59.998,redmond,1-1,3195.0,455295.0
2024-07-03 13:21:00.027,redmond,1-1,3195.0,455324.0
2024-07-03 13:21:00.056,redmond,1-1,3195.0,455353.0
2024-07-03 13:21:00.085,redmond,1-1,3195.0,455382.0
2024-07-03 13:21:00.114,redmond,1-1,3195.0,455411.0
2024-07-03 13:21:00.143,redmond,1-1,3195.0,455440.0
2024-07-03 13:21:00.171,redmond,1-1,3195.0,455468.0
2024-07-03 13:21:00.200,redmond,1-1,3195.0,455497.0
2024-07-03 13:21:00.229,redmond,1-1,3195.0,455526.0
2024-07-03 13:21:00.259,redmond,1-1,3195.0,455556.0
2024-07-03 13:21:00.288,redmond,1-1,3195.0,455585.0
2024-07-03 13:21:00.317,redmond,1-1,3195.0,455614.0
2024-07-03 13:21:00.346,redmond,1-1,3195.0,455643.0
2024-07-03 13:21:00.375,redmond,1-1,3195.0,455672.0
2024-07-03 13:21:00.404,redmond,1-1,3195.0,455701.0
2024-07-03 13:21:00.433,redmond,1-1,3195.0,455730.0
2024-07-03 13:21:00.461,redmond,1-1,3195.0,455758.0
2024-07-03 13:21:00.490,redmond,1-1,3195.0,455787.0
2024-07-03 13:21:00.519,redmond,1-1,3195.0,455816.0
2024-07-03 13:21:00.548,redmond,1-1,3195.0,455845.0
2024-07-03 13:21:00.577,redmond,1-1,3195.0,455874.0
2024-07-03 13:21:00.606,redmond,1-1,3195.0,455903.0
2024-07-03 13:21:00.635,redmond,1-1,3195.0,455932.0
2024-07-03 13:21:00.665,redmond,1-1,3195.0,455962.0
2024-07-03 13:21:00.694,redmond,1-1,3195.0,455991.0
2024-07-03 13:21:00.723,redmond,1-1,3195.0,456020.0
2024-07-03 13:21:00.753,redmond,1-1,3195.0,456050.0
2024-07-03 13:21:00.782,redmond,1-1,3195.0,456079.0
2024-07-03 13:21:00.812,redmond,1-1,3195.0,456109.0
2024-07-03 13:21:00.842,redmond,1-1,3195.0,456139.0
2024-07-03 13:21:00.872,redmond,1-1,3195.0,456169.0
2024-07-03 13:21:00.901,redmond,1-1,3195.0,456198.0
2024-07-03 13:21:00.931,redmond,1-1,3195.0,456228.0
2024-07-03 13:21:00.960,redmond,1-1,3195.0,456257.0
2024-07-03 13:21:00.989,redmond,1-1,3195.0,456286.0
2024-07-03 13:21:01.027,redmond,1-1,3195.0,456324.0
2024-07-03 13:21:01.056,redmond,1-1,3195.0,456353.0
2024-07-03 13:21:01.085,redmond,1-1,3195.0,456382.0
2024-07-03 13:21:01.114,redmond,1-1,3195.0,456411.0
2024-07-03 13:21:01.142,redmond,1-1,3195.0,456439.0
2024-07-03 13:21:01.171,redmond,1-1,3195.0,456468.0
2024-07-03 13:21:01.200,redmond,1-1,3195.0,456497.0
2024-07-03 13:21:01.229,redmond,1-1,3195.0,456526.0
2024-07-03 13:21:01.258,redmond,1-1,3195.0,456555.0
2024-07-03 13:21:01.287,redmond,1-1,3195.0,456584.0
2024-07-03 13:21:01.316,redmond,1-1,3195.0,456613.0
2024-07-03 13:21:01.345,redmond,1-1,3195.0,456642.0
2024-07-03 13:21:01.375,redmond,1-1,3195.0,456672.0
2024-07-03 13:21:01.404,redmond,1-1,3195.0,456701.0
2024-07-03 13:21:01.434,redmond,1-1,3195.0,456731.0
2024-07-03 13:21:01.463,redmond,1-1,3195.0,456760.0
2024-07-03 13:21:01.492,redmond,1-1,3195.0,456789.0
2024-07-03 13:21:01.520,redmond,1-1,3195.0,456817.0
2024-07-03 13:21:01.549,redmond,1-1,3195.0,456846.0
2024-07-03 13:21:01.578,redmond,1-1,3195.0,456875.0
2024-07-03 13:21:01.607,redmond,1-1,3195.0,456904.0
2024-07-03 13:21:01.636,redmond,1-1,3195.0,456933.0
2024-07-03 13:21:01.665,redmond,1-1,3195.0,456962.0
2024-07-03 13:21:01.694,redmond,1-1,3195.0,456991.0
2024-07-03 13:21:01.723,redmond,1-1,3195.0,457020.0
2024-07-03 13:21:01.752,redmond,1-1,3195.0,457049.0
2024-07-03 13:21:01.781,redmond,1-1,3195.0,457078.0
2024-07-03 13:21:01.810,redmond,1-1,3195.0,457107.0
2024-07-03 13:21:01.839,redmond,1-1,3195.0,457136.0
2024-07-03 13:21:01.869,redmond,1-1,3195.0,457166.0
2024-07-03 13:21:01.899,redmond,1-1,3195.0,457196.0
2024-07-03 13:21:01.928,redmond,1-1,3195.0,457225.0
2024-07-03 13:21:01.958,redmond,1-1,3195.0,457255.0
2024-07-03 13:21:01.987,redmond,1-1,3195.0,457284.0
2024-07-03 13:21:02.016,redmond,1-1,3195.0,457313.0
2024-07-03 13:21:02.045,redmond,1-1,3195.0,457342.0
2024-07-03 13:21:02.074,redmond,1-1,3195.0,457371.0
2024-07-03 13:21:02.103,redmond,1-1,3195.0,457400.0
2024-07-03 13:21:02.131,redmond,1-1,3195.0,457428.0
2024-07-03 13:21:02.161,redmond,1-1,3195.0,457458.0
2024-07-03 13:21:02.198,redmond,1-1,3195.0,457495.0
2024-07-03 13:21:02.227,redmond,1-1,3195.0,457524.0
2024-07-03 13:21:02.256,redmond,1-1,3195.0,457553.0
2024-07-03 13:21:02.284,redmond,1-1,3195.0,457581.0
2024-07-03 13:21:02.313,redmond,1-1,3195.0,457610.0
2024-07-03 13:21:02.342,redmond,1-1,3195.0,457639.0
2024-07-03 13:21:02.371,redmond,1-1,3195.0,457668.0
2024-07-03 13:21:02.399,redmond,1-1,3195.0,457696.0
2024-07-03 13:21:02.428,redmond,1-1,3195.0,457725.0
2024-07-03 13:21:02.457,redmond,1-1,3195.0,457754.0
2024-07-03 13:21:02.487,redmond,1-1,3195.0,457784.0
2024-07-03 13:21:02.517,redmond,1-1,3195.0,457814.0
2024-07-03 13:21:02.545,redmond,1-1,3195.0,457842.0
2024-07-03 13:21:02.574,redmond,1-1,3195.0,457871.0
2024-07-03 13:21:02.603,redmond,1-1,3195.0,457900.0
2024-07-03 13:21:02.631,redmond,1-1,3195.0,457928.0
2024-07-03 13:21:02.660,redmond,1-1,3195.0,457957.0
2024-07-03 13:21:02.689,redmond,1-1,3195.0,457986.0
2024-07-03 13:21:02.718,redmond,1-1,3195.0,458015.0
2024-07-03 13:21:02.747,redmond,1-1,3195.0,458044.0
2024-07-03 13:21:02.776,redmond,1-1,3195.0,458073.0
2024-07-03 13:21:02.805,redmond,1-1,3195.0,458102.0
2024-07-03 13:21:02.834,redmond,1-1,3195.0,458131.0
2024-07-03 13:21:02.863,redmond,1-1,3195.0,458160.0
2024-07-03 13:21:02.892,redmond,1-1,3195.0,458189.0
2024-07-03 13:21:02.921,redmond,1-1,3195.0,458218.0
2024-07-03 13:21:02.950,redmond,1-1,3195.0,458247.0
2024-07-03 13:21:02.979,redmond,1-1,3195.0,458276.0
2024-07-03 13:21:03.008,redmond,1-1,3195.0,458305.0
2024-07-03 13:21:03.037,redmond,1-1,3195.0,458334.0
2024-07-03 13:21:03.065,redmond,1-1,3195.0,458362.0
2024-07-03 13:21:03.094,redmond,1-1,3195.0,458391.0
2024-07-03 13:21:03.123,redmond,1-1,3195.0,458420.0
2024-07-03 13:21:03.152,redmond,1-1,3195.0,458449.0
2024-07-03 13:21:03.181,redmond,1-1,3195.0,458478.0
2024-07-03 13:21:03.211,redmond,1-1,3195.0,458508.0
2024-07-03 13:21:03.240,redmond,1-1,3195.0,458537.0
2024-07-03 13:21:03.269,redmond,1-1,3195.0,458566.0
2024-07-03 13:21:03.298,redmond,1-1,3195.0,458595.0
2024-07-03 13:21:03.327,redmond,1-1,3195.0,458624.0
2024-07-03 13:21:03.364,redmond,1-1,3195.0,458661.0
2024-07-03 13:21:03.393,redmond,1-1,3195.0,458690.0
2024-07-03 13:21:03.422,redmond,1-1,3195.0,458719.0
2024-07-03 13:21:03.452,redmond,1-1,3195.0,458749.0
2024-07-03 13:21:03.480,redmond,1-1,3195.0,458777.0
2024-07-03 13:21:03.509,redmond,1-1,3195.0,458806.0
2024-07-03 13:21:03.538,redmond,1-1,3195.0,458835.0
2024-07-03 13:21:03.566,redmond,1-1,3195.0,458863.0
2024-07-03 13:21:03.595,redmond,1-1,3195.0,458892.0
2024-07-03 13:21:03.623,redmond,1-1,3195.0,458920.0
2024-07-03 13:21:03.652,redmond,1-1,3195.0,458949.0
2024-07-03 13:21:03.680,redmond,1-1,3195.0,458977.0
2024-07-03 13:21:03.709,redmond,1-1,3195.0,459006.0
2024-07-03 13:21:03.738,redmond,1-1,3195.0,459035.0
2024-07-03 13:21:03.767,redmond,1-1,3195.0,459064.0
2024-07-03 13:21:03.796,redmond,1-1,3195.0,459093.0
2024-07-03 13:21:03.825,redmond,1-1,3195.0,459122.0
