time,op,req_t,host,time_ms
2024-07-03 13:24:58.528781,get,0.020337,0.1.celestial:8000,693825.781
2024-07-03 13:24:59.529270,put,0.042103,0.1.celestial:8000,694826.27
2024-07-03 13:24:59.560150,get,0.029732,0.1.celestial:8000,694857.15
2024-07-03 13:25:00.515899,put,0.028549,0.1.celestial:8000,695812.899
2024-07-03 13:25:00.549083,get,0.032002,0.1.celestial:8000,695846.083
2024-07-03 13:25:01.506149,put,0.018721,0.1.celestial:8000,696803.149
2024-07-03 13:25:01.537158,get,0.029823,0.1.celestial:8000,696834.158
2024-07-03 13:25:02.507583,put,0.019003,0.1.celestial:8000,697804.583
2024-07-03 13:25:02.538521,get,0.029609,0.1.celestial:8000,697835.521
2024-07-03 13:25:03.518512,put,0.029731,0.1.celestial:8000,698815.512
2024-07-03 13:25:03.551379,get,0.031753,0.1.celestial:8000,698848.379
2024-07-03 13:25:04.509697,put,0.019972,0.1.celestial:8000,699806.697
2024-07-03 13:25:04.540155,get,0.029312,0.1.celestial:8000,699837.155
2024-07-03 13:25:05.522006,put,0.03135,0.1.celestial:8000,700819.006
2024-07-03 13:25:05.543048,get,0.019928,0.1.celestial:8000,700840.048
2024-07-03 13:25:06.524065,put,0.032675,0.1.celestial:8000,701821.065
2024-07-03 13:25:06.558683,get,0.033431,0.1.celestial:8000,701855.683
2024-07-03 13:25:07.521612,put,0.0297,0.1.celestial:8000,702818.612
2024-07-03 13:25:07.556916,get,0.034046,0.1.celestial:8000,702853.916
2024-07-03 13:25:08.512391,put,0.019463,0.1.celestial:8000,703809.391
2024-07-03 13:25:08.545011,get,0.031413,0.1.celestial:8000,703842.011
2024-07-03 13:25:09.526171,put,0.032861,0.1.celestial:8000,704823.171
2024-07-03 13:25:09.556113,get,0.028683,0.1.celestial:8000,704853.113
2024-07-03 13:25:10.522166,put,0.028733,0.1.celestial:8000,705819.166
2024-07-03 13:25:10.557438,get,0.033995,0.1.celestial:8000,705854.438
2024-07-03 13:25:11.524012,put,0.030213,0.1.celestial:8000,706821.012
2024-07-03 13:25:11.545059,get,0.019735,0.1.celestial:8000,706842.059
2024-07-03 13:25:12.524779,put,0.030596,0.1.celestial:8000,707821.779
2024-07-03 13:25:12.557661,get,0.031781,0.1.celestial:8000,707854.661
2024-07-03 13:25:13.528558,put,0.033528,0.1.celestial:8000,708825.558
2024-07-03 13:25:13.563366,get,0.032931,0.1.celestial:8000,708860.366
2024-07-03 13:25:14.518355,put,0.022578,0.1.celestial:8000,709815.355
2024-07-03 13:25:14.547649,get,0.028073,0.1.celestial:8000,709844.649
2024-07-03 13:25:15.518482,put,0.02174,0.1.celestial:8000,710815.482
2024-07-03 13:25:15.553419,get,0.033712,0.1.celestial:8000,710850.419
2024-07-03 13:25:16.530412,put,0.032648,0.1.celestial:8000,711827.412
2024-07-03 13:25:16.563901,get,0.032241,0.1.celestial:8000,711860.901
2024-07-03 13:25:17.531186,put,0.032887,0.1.celestial:8000,712828.186
