t,ground_station,satellite,distance
1060,client-campsherman,69,2714
1060,client-prineville,69,2726
1060,client-lagrande,69,2719
1060,client-mccall,69,2716
1060,client-cobalt,69,2723
1060,client-may,1326,2729
1060,client-darby,69,2728
1060,client-bannack,1326,2725
1060,client-wisdom,69,2719
1061,client-shaniko,69,2220
1061,client-baker,69,2730
1061,client-prescott,69,2210
1061,client-twinfalls,1326,2708
1061,client-greatfalls,69,2716
1061,client-pocatello,1326,2728
1061,client-bozeman,69,3229
1061,client-everett,69,2196
1061,client-medford,1326,2211
1061,client-spokane,69,2220
1061,client-kimberly,69,2718
1061,client-yakima,69,2199
1061,client-centralia,69,2206
1061,client-cascade,69,2735
1061,client-salmon,69,2726
1061,client-burns,69,2730
1061,client-bend,69,2720
1061,client-kalispell,69,2204
1061,client-charlo,69,2215
1061,client-pullman,69,2206
1061,client-seneca,69,2730
1061,client-brownsville,69,2744
1061,client-yachats,69,2715
1061,client-tillamook,69,2724
1061,client-maupin,69,2214
1061,client-boardman,69,2198
1061,client-kennewick,69,2198
1061,client-aberdeen,69,2196
1061,client-pollock,69,2722
1061,client-packwood,69,2227
1061,client-clarkia,69,2205
1061,client-malden,69,2212
1061,client-ritzville,69,2191
1061,client-odessa,69,2213
1061,client-quincy,69,2237
1061,client-roslyn,69,2214
1061,client-snoqualmie,69,2218
1061,client-baringoo,69,2201
1061,client-kalaloch,69,2192
1061,client-corvallis,69,2728
1061,client-molalla,69,2732
1061,client-campsherman,69,2714
1061,client-prineville,69,2726
1061,client-lagrande,69,2719
1061,client-mccall,69,2716
1061,client-cobalt,69,2723
1061,client-may,1326,2729
1061,client-darby,69,2728
1061,client-bannack,1326,2725
1061,client-wisdom,69,2719
1062,client-shaniko,69,2220
1062,client-baker,69,2730
1062,client-prescott,69,2210
1062,client-twinfalls,1326,2708
1062,client-greatfalls,69,2716
1062,client-pocatello,1326,2728
1062,client-bozeman,69,3229
1062,client-everett,69,2196
1062,client-medford,1326,2211
1062,client-spokane,69,2220
1062,client-kimberly,69,2718
